yueyiran@DESKTOP-OHHDFET:/mnt/c/Users/lenovo/final-src-osc10e/final-src-osc10e/ch10$ sh test.sh
Compiling
Running vm
Comparing with correct.txt
1,1000c1,1000
< Virtual_Address: 62716, Physical_Address: 508, Value: 0
< Virtual_Address: 32874, Physical_Address: 4202, Value: 32
< Virtual_Address: 64390, Physical_Address: 4998, Value: 62
< Virtual_Address: 63101, Physical_Address: 22141, Value: 0
< Virtual_Address: 61802, Physical_Address: 22378, Value: 60
< Virtual_Address: 19648, Physical_Address: 22720, Value: 0
< Virtual_Address: 29031, Physical_Address: 16487, Value: 89
< Virtual_Address: 44981, Physical_Address: 13237, Value: 0
< Virtual_Address: 28092, Physical_Address: 3516, Value: 0
< Virtual_Address: 9448, Physical_Address: 23016, Value: 0
< Virtual_Address: 44744, Physical_Address: 11208, Value: 0
< Virtual_Address: 61496, Physical_Address: 23096, Value: 0
< Virtual_Address: 31453, Physical_Address: 23517, Value: 0
< Virtual_Address: 60746, Physical_Address: 23626, Value: 59
< Virtual_Address: 12199, Physical_Address: 2727, Value: -23
< Virtual_Address: 62255, Physical_Address: 23855, Value: -53
< Virtual_Address: 21793, Physical_Address: 24097, Value: 0
< Virtual_Address: 26544, Physical_Address: 24496, Value: 0
< Virtual_Address: 14964, Physical_Address: 24692, Value: 0
< Virtual_Address: 41462, Physical_Address: 25078, Value: 40
< Virtual_Address: 56089, Physical_Address: 25113, Value: 0
< Virtual_Address: 52038, Physical_Address: 25414, Value: 50
< Virtual_Address: 47982, Physical_Address: 25710, Value: 46
< Virtual_Address: 59484, Physical_Address: 25948, Value: 0
< Virtual_Address: 50924, Physical_Address: 26348, Value: 0
< Virtual_Address: 6942, Physical_Address: 26398, Value: 6
< Virtual_Address: 34998, Physical_Address: 26806, Value: 34
< Virtual_Address: 27069, Physical_Address: 27069, Value: 0
< Virtual_Address: 51926, Physical_Address: 27350, Value: 50
< Virtual_Address: 60645, Physical_Address: 7397, Value: 0
< Virtual_Address: 43181, Physical_Address: 17581, Value: 0
< Virtual_Address: 10559, Physical_Address: 27455, Value: 79
< Virtual_Address: 4664, Physical_Address: 27704, Value: 0
< Virtual_Address: 28578, Physical_Address: 28066, Value: 27
< Virtual_Address: 59516, Physical_Address: 25980, Value: 0
< Virtual_Address: 38912, Physical_Address: 3840, Value: 0
< Virtual_Address: 63562, Physical_Address: 28234, Value: 62
< Virtual_Address: 64846, Physical_Address: 2126, Value: 63
< Virtual_Address: 62938, Physical_Address: 28634, Value: 61
< Virtual_Address: 27194, Physical_Address: 28730, Value: 26
< Virtual_Address: 28804, Physical_Address: 1412, Value: 0
< Virtual_Address: 61703, Physical_Address: 22279, Value: 65
< Virtual_Address: 10998, Physical_Address: 12534, Value: 10
< Virtual_Address: 6596, Physical_Address: 29124, Value: 0
< Virtual_Address: 37721, Physical_Address: 29273, Value: 0
< Virtual_Address: 43430, Physical_Address: 29606, Value: 42
< Virtual_Address: 22692, Physical_Address: 2980, Value: 0
< Virtual_Address: 62971, Physical_Address: 28667, Value: 126
< Virtual_Address: 47125, Physical_Address: 29717, Value: 0
< Virtual_Address: 52521, Physical_Address: 29993, Value: 0
< Virtual_Address: 34646, Physical_Address: 18006, Value: 33
< Virtual_Address: 32889, Physical_Address: 4217, Value: 0
< Virtual_Address: 13055, Physical_Address: 30463, Value: -65
< Virtual_Address: 65416, Physical_Address: 30600, Value: 0
< Virtual_Address: 62869, Physical_Address: 28565, Value: 0
< Virtual_Address: 57314, Physical_Address: 30946, Value: 55
< Virtual_Address: 12659, Physical_Address: 31091, Value: 92
< Virtual_Address: 14052, Physical_Address: 31460, Value: 0
< Virtual_Address: 32956, Physical_Address: 4284, Value: 0
< Virtual_Address: 49273, Physical_Address: 8569, Value: 0
< Virtual_Address: 50352, Physical_Address: 14000, Value: 0
< Virtual_Address: 49737, Physical_Address: 31561, Value: 0
< Virtual_Address: 15555, Physical_Address: 31939, Value: 48
< Virtual_Address: 47475, Physical_Address: 32115, Value: 92
< Virtual_Address: 15328, Physical_Address: 32480, Value: 0
< Virtual_Address: 34621, Physical_Address: 17981, Value: 0
< Virtual_Address: 51365, Physical_Address: 32677, Value: 0
< Virtual_Address: 32820, Physical_Address: 4148, Value: 0
< Virtual_Address: 48855, Physical_Address: 32983, Value: -75
< Virtual_Address: 12224, Physical_Address: 2752, Value: 0
< Virtual_Address: 2035, Physical_Address: 33267, Value: -4
< Virtual_Address: 60539, Physical_Address: 7291, Value: 30
< Virtual_Address: 14595, Physical_Address: 33283, Value: 64
< Virtual_Address: 13853, Physical_Address: 31261, Value: 0
< Virtual_Address: 24143, Physical_Address: 33615, Value: -109
< Virtual_Address: 15216, Physical_Address: 32368, Value: 0
< Virtual_Address: 8113, Physical_Address: 33969, Value: 0
< Virtual_Address: 22640, Physical_Address: 2928, Value: 0
< Virtual_Address: 32978, Physical_Address: 4306, Value: 32
< Virtual_Address: 39151, Physical_Address: 4079, Value: 59
< Virtual_Address: 19520, Physical_Address: 22592, Value: 0
< Virtual_Address: 58141, Physical_Address: 34077, Value: 0
< Virtual_Address: 63959, Physical_Address: 21975, Value: 117
< Virtual_Address: 53040, Physical_Address: 34352, Value: 0
< Virtual_Address: 55842, Physical_Address: 34594, Value: 54
< Virtual_Address: 585, Physical_Address: 17225, Value: 0
< Virtual_Address: 51229, Physical_Address: 32541, Value: 0
< Virtual_Address: 64181, Physical_Address: 4533, Value: 0
< Virtual_Address: 54879, Physical_Address: 3679, Value: -105
< Virtual_Address: 28210, Physical_Address: 34866, Value: 27
< Virtual_Address: 10268, Physical_Address: 14620, Value: 0
< Virtual_Address: 15395, Physical_Address: 31779, Value: 8
< Virtual_Address: 12884, Physical_Address: 30292, Value: 0
< Virtual_Address: 2149, Physical_Address: 35173, Value: 0
< Virtual_Address: 53483, Physical_Address: 35563, Value: 58
< Virtual_Address: 59606, Physical_Address: 26070, Value: 58
< Virtual_Address: 14981, Physical_Address: 24709, Value: 0
< Virtual_Address: 36672, Physical_Address: 35648, Value: 0
< Virtual_Address: 23197, Physical_Address: 35997, Value: 0
< Virtual_Address: 36518, Physical_Address: 14502, Value: 35
< Virtual_Address: 13361, Physical_Address: 36145, Value: 0
< Virtual_Address: 19810, Physical_Address: 36450, Value: 19
< Virtual_Address: 25955, Physical_Address: 36707, Value: 88
< Virtual_Address: 62678, Physical_Address: 470, Value: 61
< Virtual_Address: 26021, Physical_Address: 36773, Value: 0
< Virtual_Address: 29409, Physical_Address: 37089, Value: 0
< Virtual_Address: 38111, Physical_Address: 37343, Value: 55
< Virtual_Address: 58573, Physical_Address: 15565, Value: 0
< Virtual_Address: 56840, Physical_Address: 37384, Value: 0
< Virtual_Address: 41306, Physical_Address: 24922, Value: 40
< Virtual_Address: 54426, Physical_Address: 19354, Value: 53
< Virtual_Address: 3617, Physical_Address: 10017, Value: 0
< Virtual_Address: 50652, Physical_Address: 18652, Value: 0
< Virtual_Address: 41452, Physical_Address: 25068, Value: 0
< Virtual_Address: 20241, Physical_Address: 16657, Value: 0
< Virtual_Address: 31723, Physical_Address: 12267, Value: -6
< Virtual_Address: 53747, Physical_Address: 1011, Value: 124
< Virtual_Address: 28550, Physical_Address: 28038, Value: 27
